33 100 99999 0
10.0 10.0
630.0 1660.0 7.0
40.0 2090.0 8.0
750.0 1100.0 9.0
180.8 1100.6 7.0
1900.0 20.0 8.0
700.0 200.0 8.0
1350.0 20.0 7.0
2630.0 30.0 8.0
240.0 40.0 9.0
2650.0 60.0 9.0
380.8 80.6 8.0
4900.0 90.0 7.0
1150.0 120.0 9.0
630.0 160.0 10.0
40.0 140.0 7.0
650.0 160.0 8.0
110.0 120.5 9.0
180.8 170.6 9.0
1900.0 180.0 7.0
10.0 190.0 7.0
700.0 200.0 8.0
1630.0 660.0 8.0
140.0 290.0 9.0
1750.0 100.0 10.0
1900.0 220.0 7.0
410.0 110.0 8.0
703.0 305.0 8.0
130.0 10.0 9.0
630.0 10.0 8.0
350.0 100.0 8.0
450.0 50.0 9.0
703.0 280.0 8.0
108.0 50.0 7.0
